"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",3168.17,0.5,0,10,"Normal",0
"ab1",-24.1347,0.5,0,5,"Normal",0
"ab2",1.44221,0.5,0,5,"Normal",0
"ab3",3.82988,0.5,0,5,"Normal",0
"ab4",2.40286,0.5,0,5,"Normal",0
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",10.3106,0.5,0,10,"Normal",0
"at1",1.67769,0.5,0,5,"Normal",0
"at2",0.113406,0.5,0,5,"Normal",0
"at3",2.44999,0.5,0,5,"Normal",0
"at4",300.182,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-1.05278,0.5,0,10,"Normal",0
"bb1",-0.154739,0.5,0,5,"Normal",0
"bb2",0.148172,0.5,0,5,"Normal",0
"bb3",-0.165734,0.5,0,5,"Normal",0
"bb4",-0.122306,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.890316,0.5,0,10,"Normal",0
"bt1",0.19798,0.5,0,5,"Normal",0
"bt2",0.281598,0.5,0,5,"Normal",0
"bt3",0.0484009,0.5,0,5,"Normal",0
"bt4",-0.140081,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.716103,0.5,0,10,"Normal",0
"tt1",0.42543,0.5,0,5,"Normal",0
"tt2",-0.00736775,0.5,0,5,"Normal",0
"tt3",-0.479672,0.5,0,5,"Normal",0
"tt4",-0.178476,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-2.94979,0.5,0,10,"Normal",0
"th1",-0.0994315,0.5,0,5,"Normal",0
"th2",-0.158347,0.5,0,5,"Normal",0
"th3",0.258196,0.5,0,5,"Normal",0
"th4",0.0603988,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-6.02912,0.5,0,10,"Normal",0
"e1",-1.29148,0.5,0,5,"Normal",0
"e2",-0.075275,0.5,0,5,"Normal",0
"e3",-0.30598,0.5,0,5,"Normal",0
"e4",0.0740982,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
